DATE,NASDAQ100
1/18/2008,1844.09
1/21/2008,.
1/22/2008,1795.61
1/23/2008,1789.53
1/24/2008,1826.92
1/25/2008,1789.17
1/28/2008,1805.08
1/29/2008,1807.67
1/30/2008,1808.51
1/31/2008,1841.42
2/1/2008,1855.27
2/4/2008,1828.8
2/5/2008,1773.49
2/6/2008,1740.95
2/7/2008,1753.3
2/8/2008,1773.74
2/11/2008,1793.09
2/12/2008,1780.54
2/13/2008,1823
2/14/2008,1787.59
2/15/2008,1780.38
2/18/2008,.
2/19/2008,1764.81
2/20/2008,1787.45
2/21/2008,1766.3
2/22/2008,1773.44
2/25/2008,1785.46
2/26/2008,1791.31
2/27/2008,1799.94
2/28/2008,1794.46
2/29/2008,1745.27
3/3/2008,1733.27
3/4/2008,1743.7
3/5/2008,1753.57
3/6/2008,1712.5
3/7/2008,1707.5
3/10/2008,1673.03
3/11/2008,1740.95
3/12/2008,1735.18
3/13/2008,1750.4
3/14/2008,1713.83
3/17/2008,1687.19
3/18/2008,1761.05
3/19/2008,1715.59
3/20/2008,1751.99
3/21/2008,.
3/24/2008,1814.4
3/25/2008,1824.54
3/26/2008,1817.28
3/27/2008,1777.89
3/28/2008,1767.57
3/31/2008,1781.93
4/1/2008,1855.48
4/2/2008,1848.8
4/3/2008,1855.19
4/4/2008,1865.87
4/7/2008,1860.83
4/8/2008,1846.14
4/9/2008,1826.19
4/10/2008,1852.97
4/11/2008,1798.72
4/14/2008,1790.93
4/15/2008,1794.73
4/16/2008,1846.89
4/17/2008,1840.88
4/18/2008,1900.28
4/21/2008,1913.12
4/22/2008,1881.65
4/23/2008,1906.66
4/24/2008,1924.58
4/25/2008,1918.58
4/28/2008,1923.26
4/29/2008,1933.6
4/30/2008,1917.7
5/1/2008,1980.44
5/2/2008,1981.87
5/5/2008,1975.82
5/6/2008,1990.61
5/7/2008,1951.42
5/8/2008,1966.86
5/9/2008,1960.29
5/12/2008,1997.02
5/13/2008,2000.61
5/14/2008,1997.3
5/15/2008,2031.34
5/16/2008,2031.27
5/19/2008,2016.6
5/20/2008,2000.67
5/21/2008,1956.8
5/22/2008,1964.92
5/23/2008,1958.96
5/26/2008,.
5/27/2008,1995.44
5/28/2008,2000.07
5/29/2008,2019.02
5/30/2008,2032.57
6/2/2008,2006.84
6/3/2008,1996.79
6/4/2008,2021.45
6/5/2008,2055.11
6/6/2008,1990.39
6/9/2008,1979.71
6/10/2008,1972.54
6/11/2008,1924.33
6/12/2008,1924.26
6/13/2008,1966.01
6/16/2008,1984.76
6/17/2008,1972.82
6/18/2008,1951.1
6/19/2008,1982.69
6/20/2008,1928.39
6/23/2008,1913.31
6/24/2008,1903.74
6/25/2008,1933.86
6/26/2008,1855.39
6/27/2008,1855.72
6/30/2008,1837.09
7/1/2008,1862.71
7/2/2008,1816.15
7/3/2008,1816.35
7/4/2008,.
7/7/2008,1826.93
7/8/2008,1871.28
7/9/2008,1819.18
7/10/2008,1839.57
7/11/2008,1810.88
7/14/2008,1798.03
7/15/2008,1798.35
7/16/2008,1843.87
7/17/2008,1853.47
7/18/2008,1823.23
7/21/2008,1819.76
7/22/2008,1821.62
7/23/2008,1845.56
7/24/2008,1816.98
7/25/2008,1846.55
7/28/2008,1802.99
7/29/2008,1845.55
7/30/2008,1852.8
7/31/2008,1849.15
8/1/2008,1826.56
8/4/2008,1804.84
8/5/2008,1869.76
8/6/2008,1895.21
8/7/2008,1880.09
8/8/2008,1926.23
8/11/2008,1941.23
8/12/2008,1941.07
8/13/2008,1942.02
8/14/2008,1964.38
8/15/2008,1957.56
8/18/2008,1932.7
8/19/2008,1908.68
8/20/2008,1913.02
8/21/2008,1906.74
8/22/2008,1931.47
8/25/2008,1889.72
8/26/2008,1886.32
8/27/2008,1900.3
8/28/2008,1915.12
8/29/2008,1872.54
9/1/2008,.
9/2/2008,1850.14
9/3/2008,1833.09
9/4/2008,1774.78
9/5/2008,1768.23
9/8/2008,1762.95
9/9/2008,1721.55
9/10/2008,1738.07
9/11/2008,1773.65
9/12/2008,1767.13
9/15/2008,1705.46
9/16/2008,1724.08
9/17/2008,1632.45
9/18/2008,1697.42
9/19/2008,1745.06
9/22/2008,1665.94
9/23/2008,1648.4
9/24/2008,1661.33
9/25/2008,1687.55
9/26/2008,1672.04
9/29/2008,1496.15
9/30/2008,1584.6
10/1/2008,1563.8
10/2/2008,1491.11
10/3/2008,1470.84
10/6/2008,1411.28
10/7/2008,1329.01
