DATE,PNRGINDEXM
1992-01-01,44.4522352588286
1992-02-01,44.0128567181963
1992-03-01,43.8285850995234
1992-04-01,46.155697926573
1992-05-01,48.2052616437727
1992-06-01,50.6501985592157
1992-07-01,49.9010687111964
1992-08-01,49.7099081845566
1992-09-01,51.1811522934843
1992-10-01,51.3571352615322
1992-11-01,48.7933125604438
1992-12-01,46.9915178464362
1993-01-01,45.7855856435848
1993-02-01,46.4782081597774
1993-03-01,48.0759577403415
1993-04-01,48.5407722796478
1993-05-01,47.4795896410653
1993-06-01,45.8424207016016
1993-07-01,43.9433514075594
1993-08-01,44.7541962023966
1993-09-01,43.5236989323768
1993-10-01,43.7541101883819
1993-11-01,42.2606306441881
1993-12-01,38.4499906955463
1994-01-01,39.8172767602957
1994-02-01,40.4173229208669
1994-03-01,38.3122593503381
1994-04-01,40.6544906276469
1994-05-01,42.6117142469202
1994-06-01,44.4949195335516
1994-07-01,45.8462902077056
1994-08-01,43.7816425196461
1994-09-01,42.1316863092849
1994-10-01,42.9429378571155
1994-11-01,44.0671809186165
1994-12-01,43.0376149977719
1995-01-01,44.0451098637305
1995-02-01,45.1721950679683
1995-03-01,45.3823213415581
1995-04-01,47.8008471541666
1995-05-01,47.7466235089334
1995-06-01,45.8271212477329
1995-07-01,43.3838022888509
1995-08-01,44.0429814599173
1995-09-01,44.7208209600222
1995-10-01,44.1188199049151
1995-11-01,45.5713665756328
1995-12-01,49.6533889964449
1996-01-01,50.0136634968395
1996-02-01,52.2364352951411
1996-03-01,52.4338703754628
1996-04-01,53.0710194165868
1996-05-01,50.2988645490681
1996-06-01,50.2431537053524
1996-07-01,51.7455565736681
1996-08-01,52.0151017067311
1996-09-01,55.4370390659979
1996-10-01,59.3720262223191
1996-11-01,60.5047801216974
1996-12-01,64.2949399768001
1997-01-01,61.484578729773
1997-02-01,53.4808309561963
1997-03-01,50.5391430157583
1997-04-01,47.8137294595803
1997-05-01,50.7012034158406
1997-06-01,48.1197943884955
1997-07-01,48.3717507325168
1997-08-01,49.7516960913767
1997-09-01,50.8689116165982
1997-10-01,53.4294044735867
1997-11-01,51.2956317503083
1997-12-01,46.3736555135031
1998-01-01,42.1282223239176
1998-02-01,40.3297502434822
1998-03-01,38.4086367925118
1998-04-01,39.4597784829243
1998-05-01,39.0493483747371
1998-06-01,36.8993185375508
1998-07-01,36.7014133768936
1998-08-01,35.1181769562553
1998-09-01,37.657978086531
1998-10-01,36.4444692938648
1998-11-01,34.51499903212
1998-12-01,30.8360143389792
1999-01-01,32.5467206725288
1999-02-01,31.3536702349526
1999-03-01,35.4218490780644
1999-04-01,40.6512863569622
1999-05-01,41.8840647893305
1999-06-01,42.8276451798696
1999-07-01,47.2529617627011
1999-08-01,51.2736079878553
1999-09-01,55.40367682468
1999-10-01,54.9674540745056
1999-11-01,57.7503926516996
1999-12-01,59.0786699247741
2000-01-01,62.2392260586151
2000-02-01,66.4232999229776
2000-03-01,66.6851158362596
2000-04-01,61.4169549680859
2000-05-01,68.6714688049523
2000-06-01,75.1507069374346
2000-07-01,72.6865537980706
2000-08-01,76.7991947154988
2000-09-01,82.9348112414127
2000-10-01,82.3055840412933
2000-11-01,84.8125158439628
2000-12-01,83.3207570062257
2001-01-01,82.3671048296966
2001-02-01,76.5110277605475
2001-03-01,72.1270313751849
2001-04-01,73.1053103918459
2001-05-01,73.0180536275028
2001-06-01,70.7713025163136
2001-07-01,64.6479980607725
2001-08-01,65.7478825176858
2001-09-01,62.8732573423258
2001-10-01,55.5171263042748
2001-11-01,50.1237353762521
2001-12-01,49.4678305559636
2002-01-01,49.4461717334785
2002-02-01,51.1436482384694
2002-03-01,59.3927138220747
2002-04-01,63.2216573312363
2002-05-01,63.9450959960332
2002-06-01,61.0633015087631
2002-07-01,63.1665978466177
2002-08-01,64.1268874122906
2002-09-01,68.5206189362142
2002-10-01,69.4229778693982
2002-11-01,64.6897446324953
2002-12-01,72.0922022813772
2003-01-01,79.4541658527736
2003-02-01,90.8892642513114
2003-03-01,80.5921948003378
2003-04-01,70.8471973021957
2003-05-01,72.8786760553799
2003-06-01,76.2041201992688
2003-07-01,75.2613839004993
2003-08-01,77.1777817819796
2003-09-01,71.9842380150344
2003-10-01,75.7176747748298
2003-11-01,75.9402499088571
2003-12-01,82.2737346812493
2004-01-01,85.6153840214917
2004-02-01,83.783437036665
2004-03-01,86.8433601262431
2004-04-01,89.1797524060354
2004-05-01,97.5669900143751
2004-06-01,95.460292171924
2004-07-01,99.6556799959164
2004-08-01,105.169549215183
2004-09-01,103.984793896605
2004-10-01,117.282470409864
2004-11-01,109.00453495989
2004-12-01,103.468877350763
2005-01-01,108.963342886004
2005-02-01,110.972849785124
2005-03-01,124.990154019554
2005-04-01,126.269303437212
2005-05-01,119.6884745205
2005-06-01,130.909378195066
2005-07-01,137.45817507001
2005-08-01,151.521563709579
2005-09-01,160.761714874947
2005-10-01,158.701217459353
2005-11-01,143.803193387395
2005-12-01,152.895045231843
2006-01-01,152.349313115297
2006-02-01,146.048007608321
2006-03-01,147.288823149419
2006-04-01,160.522028047458
2006-05-01,159.912510529106
2006-06-01,159.629510817061
