date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money,nasdaq100,btc_price,housing_index,commod_index,energy_index,cpi_index,unit_labor,personal_savings,personal_expenses,rent_prim_res
2005-02,1371.1,12819.076000000001,2.5,805705.0,7796791.333333333,9.34948289694406,,,,,,,,,,
2005-03,1370.9,12870.866,2.63,802675.0,7816643.666666667,9.388624990881901,,,,,,,,,,
2005-04,1358.4,12922.656,2.79,798095.0,7836496.0,9.513144876325088,,,,,,,,,,
2005-05,1366.0,12995.984666666667,3.0,803447.0,7868567.333333333,9.513897999023914,,,,,,,,,,
2005-06,1380.1,13069.313333333334,3.04,818300.0,7900638.666666667,9.469830688597446,,,,,,,,,,
2005-07,1369.0,13142.642,3.26,822944.0,7932710.0,9.60017677136596,,,,,,,,,,
2005-08,1377.8,13203.162666666667,3.5,819529.0,8011944.333333333,9.582786084095419,,,,,,,,,,
2005-09,1378.6,13263.683333333332,3.62,824448.0,8091178.666666667,9.621125296194206,,,,,,,,,,
2005-10,1376.5,13324.204,3.78,818227.0,8170413.0,9.67977043225572,,,,,,,,,,
2005-11,1376.1,13415.856,4.0,815926.0,8237327.333333333,9.7491868323523,,,,,,,,,,
2005-12,1374.3,13507.508,4.16,834325.0,8304241.666666667,9.828645856072182,,,,,,,,,,
2006-01,1379.5,13599.16,4.29,854174.0,8371156.0,9.858035520115983,,,,,,,,,,
2006-02,1378.4,13650.581333333334,4.49,833289.0,8387451.333333333,9.90320758367189,,,,,,,,,,
2006-03,1383.2,13702.002666666667,4.59,840566.0,8403746.666666666,9.90601696549065,,,,,,,,,,
2006-04,1381.4,13753.424,4.79,835979.0,8420042.0,9.956148834515709,,,,,,,,,,
2006-05,1387.2,13792.345333333335,4.94,845192.0,8449019.333333334,9.942578815840061,,,,,,,,,,
2006-06,1375.4,13831.266666666666,4.99,850218.0,8477996.666666666,10.056177596820318,,,,,,,,,,
2006-07,1372.4,13870.188,5.24,853082.0,8506974.0,10.106519965024773,,,,,,,,,,
2006-08,1372.4,13926.645333333334,5.25,851664.0,8564724.0,10.14765763139998,,,,,,,,,,
2006-09,1364.4,13983.102666666666,5.25,851521.0,8622474.0,10.248536108668034,,,,,,,,,,
2006-10,1370.3,14039.56,5.25,843857.0,8680224.0,10.245610450266366,,,,,,,,,,
2006-11,1370.8,14098.257,5.25,857192.0,8736704.333333334,10.284692880070033,,,,,,,,,,
2006-12,1366.6,14156.954,5.24,864015.0,8793184.666666666,10.359252158641885,,,,,,,,,,
2007-01,1371.7,14215.651,5.25,875886.0,8849665.0,10.363527739301595,,,,,,,,,,
2007-02,1363.0,14277.794666666667,5.26,855950.0,8855669.0,10.475271215456102,,,,,,,,,,
2007-03,1366.5,14339.938333333334,5.26,865685.0,8861673.0,10.493917550920845,,,,,,,,,,
2007-04,1378.0,14402.082,5.25,863206.0,8867677.0,10.45143831640058,,,,,,,,,,
2007-05,1380.9,14456.093666666668,5.25,892372.0,8914335.666666666,10.468602843556134,,,,,,,,,,
2007-06,1368.2,14510.105333333333,5.25,873911.0,8960994.333333334,10.605251668859328,,,,,,,,,,
2007-07,1371.8,14564.117,5.26,878608.0,9007653.0,10.616793264324246,,,,,,,,,,
2007-08,1376.3,14614.430666666667,5.02,871042.0,9081492.666666666,10.618637409479524,,,,,,,,,,
2007-09,1375.7,14664.744333333334,4.94,872896.0,9155332.333333334,10.659841777519324,,,,,,,,,,
2007-10,1379.4,14715.058,4.76,869874.0,9229172.0,10.667723647962882,,,,,,,,,,
2007-11,1371.8,14712.218,4.49,886556.0,9298646.0,10.724754337366964,,,,,,,,,,
2007-12,1373.4,14709.378,4.24,883464.0,9368120.0,10.710192223678462,,,,,,,,,,
2008-01,1377.7,14706.538,3.94,923058.0,9437594.0,10.674702765478697,1855.27,,372.34,154.383559162106,212.95256526713,212.174,100.256,366.923,9996.4,239.85
2008-02,1380.4,14759.592333333334,2.98,871610.0,9455731.333333334,10.692257558195692,1855.27,,369.20666666666665,161.414167479217,221.207409668071,212.687,99.94566666666667,433.788,9981.7,240.325
2008-03,1388.7,14812.646666666666,2.61,881822.0,9473868.666666666,10.666556251650224,1733.27,,366.0733333333333,171.181055223119,236.794999578762,213.448,99.63533333333334,500.653,10035.3,240.874
2008-04,1391.4,14865.701,2.28,884297.0,9492006.0,10.683988069570216,1855.48,,362.94,177.796062262196,253.573936320607,213.942,99.325,567.518,10070.3,241.474
2008-05,1393.4,14876.800333333333,1.98,889757.0,9669579.0,10.676618582842925,1980.44,,359.13,190.237107906841,281.920824527933,215.208,99.56466666666667,522.6833333333334,10132.3,241.803
