date,nasdaq100,btc_price,housing_index,commod_index,energy_index
2007-02,1830.59,,,116.909043314201,145.026825191246
2007-03,1753.45,,380.55,119.61720550207,148.29818701874
2007-04,1773.33,,380.55,126.426951618491,156.852961131099
2007-05,1873.43,,379.13,126.760826703287,157.716476638741
2007-06,1928.26,,377.71000000000004,127.07767879833,162.327162647887
2007-07,1954.12,,376.29,129.619040838954,168.822275060673
2007-08,1945.08,,375.89,125.569045154311,164.379861177812
2007-09,0.0,,375.49,131.754371003311,174.95269920475
2007-10,2116.97,,375.09,139.447027404245,189.041557010224
2007-11,2197.07,,374.1733333333333,147.612174794676,207.659453538207
2007-12,2067.45,,373.25666666666666,147.755432401636,206.532852366502
2008-01,0.0,,372.34,154.383559162106,212.95256526713
2008-02,1855.27,,369.20666666666665,161.414167479217,221.207409668071
2008-03,1733.27,,366.0733333333333,171.181055223119,236.794999578762
2008-04,1855.48,,362.94,177.796062262196,253.573936320607
2008-05,1980.44,,359.13,190.237107906841,281.920824527933
2008-06,2006.84,,355.32,199.223140422477,303.745294402926
2008-07,1862.71,,351.51,200.808359967538,308.945845079838
2008-08,1826.56,,350.43,179.781378472755,268.942999904535
2008-09,0.0,,349.34999999999997,164.858399692681,241.157795731331
2008-10,1563.8,,348.27,134.788242367655,188.568081326526
2008-11,1334.75,,349.13,114.359339707555,150.200782451237
2008-12,1091.16,,349.99,101.904734420369,122.672243012022
2009-01,0.0,,350.85,104.427579022121,125.378276708955
2009-02,1195.75,,347.78333333333336,100.92348256431,117.722420760494
2009-03,1076.67,,344.71666666666664,100.944839840212,118.843901173609
2009-04,1252.51,,341.65,102.904605315295,119.20519973597
2009-05,1396.62,,338.6766666666667,111.797397368604,133.97993538685
2009-06,1477.12,,335.7033333333333,120.502487414329,152.982953218604
2009-07,1481.34,,332.73,116.328952708189,143.464313930351
2009-08,1628.12,,331.88666666666666,122.795871392493,154.867717956959
2009-09,1595.84,,331.04333333333335,119.135919568377,148.563669439578
2009-10,1666.41,,330.2,126.645989122524,161.88819495353
2009-11,1672.91,,328.88666666666666,131.509059740893,167.28240524265
2009-12,1787.71,,327.5733333333333,134.045837287127,169.081397747495
2010-01,0.0,,326.26,139.839679297432,178.41947067921
2010-02,1760.72,,325.2733333333333,136.552742218458,172.419006521773
2010-03,1846.4,,324.2866666666667,141.524805511806,177.043925116846
2010-04,1959.56,,323.3,149.313117882383,185.834204822904
2010-05,2031.6,,324.35,140.402469952676,171.381834659046
2010-06,1835.04,,325.4,137.719023925784,171.550033939702
2010-07,1734.41,,326.45,137.843341038294,170.909086633409
2010-08,1898.99,,325.6766666666667,141.643776111645,172.006819754741
2010-09,1820.05,,324.9033333333333,144.433606285338,171.978027456354
2010-10,1996.6,,324.13,152.207460939239,181.749423910817
2010-11,2128.42,,321.13,157.064601960867,188.430479797526
2010-12,2162.83,,318.13,166.162039399656,200.596439773715
2011-01,2254.23,,315.13,172.458767894064,208.932671985744
2011-02,2324.95,,313.2866666666667,178.70444958861,216.000528575678
2011-03,2315.26,,311.4433333333333,184.783151963602,233.841821904619
2011-04,2342.92,,309.6,194.306033357694,250.730026968411
2011-05,2404.24,,310.37,186.867635951463,238.786784479992
2011-06,2322.48,,311.14000000000004,184.913285745087,236.265966676199
2011-07,2361.39,,311.91,187.88328347747,241.704074238477
2011-08,2354.05,,312.38666666666666,183.210643311126,229.029431380039
2011-09,2219.05,,312.86333333333334,180.653747319119,229.291360431155
2011-10,2085.04,,313.34,174.898446897193,227.72318632522
2011-11,2298.37,,312.24666666666667,176.807901196487,234.303517671319
2011-12,2309.2,,311.1533333333333,173.390492144848,231.531830401329
2012-01,0.0,,310.06,176.456379874451,234.561993004392
2012-02,2488.18,,309.59333333333336,181.918468947264,242.492106949393
2012-03,2643.54,,309.12666666666667,185.631243934266,251.477586578673
2012-04,2784.42,,308.66,182.596822240735,244.602440376174
2012-05,2726.92,,310.03000000000003,171.938519978354,226.811417850343
2012-06,2458.83,,311.4,160.920296994703,203.84606219857
2012-07,2625.03,,312.77,166.486246140197,213.550184112094
2012-08,2635.13,,313.58666666666664,171.376777462595,227.100652030527
2012-09,0.0,,314.40333333333336,173.022479627727,228.604174161606
2012-10,2794.28,,315.22,171.236194405048,223.582281780183
2012-11,2687.52,,315.74333333333334,169.079559418959,220.239028555248
2012-12,2671.84,,316.2666666666667,169.963509713296,220.583781936685
2013-01,0.0,,316.79,174.027821529619,226.609992657721
2013-02,2763.96,,318.40333333333336,175.50395775166,230.718606428011
2013-03,2747.75,,320.01666666666665,171.203032018493,224.634418455802
2013-04,2797.07,,321.63,167.819250104005,219.154640961809
2013-05,2873.35,,323.18,166.74340866391,218.779877661479
2013-06,2990.79,,324.72999999999996,164.0598227828,218.338094747412
