date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money
2005-10,1376.5,13324.204,3.78,818227.0,8170413.0,9.67977043225572
2005-11,1376.1,13415.856,4.0,815926.0,8237327.333333333,9.7491868323523
2005-12,1374.3,13507.508,4.16,834325.0,8304241.666666667,9.828645856072182
2006-01,1379.5,13599.16,4.29,854174.0,8371156.0,9.858035520115983
2006-02,1378.4,13650.581333333334,4.49,833289.0,8387451.333333333,9.90320758367189
2006-03,1383.2,13702.002666666667,4.59,840566.0,8403746.666666666,9.90601696549065
2006-04,1381.4,13753.424,4.79,835979.0,8420042.0,9.956148834515709
2006-05,1387.2,13792.345333333335,4.94,845192.0,8449019.333333334,9.942578815840061
2006-06,1375.4,13831.266666666666,4.99,850218.0,8477996.666666666,10.056177596820318
2006-07,1372.4,13870.188,5.24,853082.0,8506974.0,10.106519965024773
2006-08,1372.4,13926.645333333334,5.25,851664.0,8564724.0,10.14765763139998
2006-09,1364.4,13983.102666666666,5.25,851521.0,8622474.0,10.248536108668034
2006-10,1370.3,14039.56,5.25,843857.0,8680224.0,10.245610450266366
2006-11,1370.8,14098.257,5.25,857192.0,8736704.333333334,10.284692880070033
2006-12,1366.6,14156.954,5.24,864015.0,8793184.666666666,10.359252158641885
2007-01,1371.7,14215.651,5.25,875886.0,8849665.0,10.363527739301595
2007-02,1363.0,14277.794666666667,5.26,855950.0,8855669.0,10.475271215456102
2007-03,1366.5,14339.938333333334,5.26,865685.0,8861673.0,10.493917550920845
2007-04,1378.0,14402.082,5.25,863206.0,8867677.0,10.45143831640058
2007-05,1380.9,14456.093666666668,5.25,892372.0,8914335.666666666,10.468602843556134
2007-06,1368.2,14510.105333333333,5.25,873911.0,8960994.333333334,10.605251668859328
2007-07,1371.8,14564.117,5.26,878608.0,9007653.0,10.616793264324246
2007-08,1376.3,14614.430666666667,5.02,871042.0,9081492.666666666,10.618637409479524
2007-09,1375.7,14664.744333333334,4.94,872896.0,9155332.333333334,10.659841777519324
2007-10,1379.4,14715.058,4.76,869874.0,9229172.0,10.667723647962882
2007-11,1371.8,14712.218,4.49,886556.0,9298646.0,10.724754337366964
2007-12,1373.4,14709.378,4.24,883464.0,9368120.0,10.710192223678462
2008-01,1377.7,14706.538,3.94,923058.0,9437594.0,10.674702765478697
2008-02,1380.4,14759.592333333334,2.98,871610.0,9455731.333333334,10.692257558195692
2008-03,1388.7,14812.646666666666,2.61,881822.0,9473868.666666666,10.666556251650224
2008-04,1391.4,14865.701,2.28,884297.0,9492006.0,10.683988069570216
2008-05,1393.4,14876.800333333333,1.98,889757.0,9669579.0,10.676618582842925
2008-06,1404.6,14887.899666666666,2.0,896444.0,9847152.0,10.599387488727515
2008-07,1421.1,14898.999,2.01,903620.0,10024725.0,10.48413130673422
2008-08,1407.4,14802.068666666666,2.0,902873.0,10249751.666666666,10.51731467007721
2008-09,1462.0,14705.138333333334,1.81,905996.0,10474778.333333334,10.058234154126767
2008-10,1473.8,14608.208,0.97,1504499.0,10699805.0,9.911933776631837
2008-11,1514.6,14549.105666666666,0.39,2074643.0,10842183.666666666,9.60590628988952
2008-12,1601.7,14490.003333333334,0.16,2137435.0,10984562.333333334,9.046640028303262
2009-01,1582.8,14430.901,0.15,2121949.0,11126941.0,9.11732436189032
2009-02,1567.2,14414.346,0.22,1851813.0,11266385.666666666,9.19751531393568
2009-03,1578.9,14397.791000000001,0.18,1901834.0,11405830.333333334,9.118874532902653
2009-04,1611.6,14381.236,0.15,2079411.0,11545275.0,8.923576569868455
2009-05,1617.5,14403.784666666666,0.18,2080452.0,11666792.666666666,8.904967336424523
2009-06,1658.8,14426.333333333334,0.21,2078237.0,11788310.333333334,8.696849127883612
2009-07,1662.5,14448.882,0.16,2006220.0,11909828.0,8.691056842105263
2009-08,1660.0,14516.337333333333,0.16,1989654.0,12043668.333333334,8.744781526104417
2009-09,1664.9,14583.792666666666,0.15,2084026.0,12177508.666666666,8.759560734378441
2009-10,1677.7,14651.248,0.12,2138587.0,12311349.0,8.732936758657686
2009-11,1683.0,14689.035666666667,0.12,2165358.0,12465273.666666666,8.727888096652803
